method,split,precision,recall,specificity,f1,accuracy,tp,fp,tn,fn
yolo_any_stroke_eye,train,0.646840,0.740426,0.188034,0.690476,0.556818,174,95,22,61
yolo_any_stroke_eye,val,0.654545,0.720000,0.240000,0.685714,0.560000,36,19,6,14
yolo_any_stroke_eye,test,0.640625,0.803922,0.115385,0.713043,0.571429,41,23,3,10
yolo_any_stroke_eye,combined,0.646907,0.747024,0.184524,0.693370,0.559524,251,137,31,85
yolo_any_stroke_mouth,train,0.658703,0.821277,0.145299,0.731061,0.596591,193,100,17,42
yolo_any_stroke_mouth,val,0.672131,0.820000,0.200000,0.738739,0.613333,41,20,5,9
yolo_any_stroke_mouth,test,0.681159,0.921569,0.153846,0.783333,0.662338,47,22,4,4
yolo_any_stroke_mouth,combined,0.664303,0.836310,0.154762,0.740448,0.609127,281,142,26,55
yolo_any_stroke,train,0.659574,0.923404,0.042735,0.769504,0.630682,217,112,5,18
yolo_any_stroke,val,0.652174,0.900000,0.040000,0.756303,0.613333,45,24,1,5
yolo_any_stroke,test,0.653333,0.960784,0.000000,0.777778,0.636364,49,26,0,2
yolo_any_stroke,combined,0.657505,0.925595,0.035714,0.768850,0.628968,311,162,6,25
yolo_stroke_severe,train,0.648069,0.642553,0.299145,0.645299,0.528409,151,82,35,84
yolo_stroke_severe,val,0.625000,0.600000,0.280000,0.612245,0.493333,30,18,7,20
yolo_stroke_severe,test,0.627451,0.627451,0.269231,0.627451,0.506494,32,19,7,19
yolo_stroke_severe,combined,0.641566,0.633929,0.291667,0.637725,0.519841,213,119,49,123
yolo_majority_stroke,train,0.657343,0.800000,0.162393,0.721689,0.588068,188,98,19,47
yolo_majority_stroke,val,0.661017,0.780000,0.200000,0.715596,0.586667,39,20,5,11
yolo_majority_stroke,test,0.661538,0.843137,0.153846,0.741379,0.610390,43,22,4,8
yolo_majority_stroke,combined,0.658537,0.803571,0.166667,0.723861,0.591270,270,140,28,66
facesymai_rule62,train,0.780220,0.604255,0.658120,0.681055,0.622159,142,40,77,93
facesymai_rule62,val,0.785714,0.660000,0.640000,0.717391,0.653333,33,9,16,17
facesymai_rule62,test,0.782609,0.705882,0.615385,0.742268,0.675325,36,10,16,15
facesymai_rule62,combined,0.781481,0.627976,0.648810,0.696370,0.634921,211,59,109,125
