method,split,patient_count,tp_count,fp_count,tn_count,fn_count,fp_rate,recall,precision,specificity,f1,threshold/rule
facesymai_rule62,test,178,45,14,71,48,0.164706,0.483871,0.762712,0.835294,0.592105,0.612826
facesymai_rule62,val,75,33,9,16,17,0.360000,0.660000,0.785714,0.640000,0.717391,0.612826
facesymai_rule62,train,352,142,40,77,93,0.341880,0.604255,0.780220,0.658120,0.681055,0.612826
facesymai_rule62,combined,605,220,63,164,158,0.277533,0.582011,0.777385,0.722467,0.665658,0.612826
low_fpr_and_3,test,178,0,0,85,93,0.000000,0.000000,0.000000,1.000000,0.000000,AND P995: raw_eyebrow_region_centroid_y_asym[mouth_dynamic/max] >= 0.108792 AND raw_brow_outer_height_asym[mouth_dynamic/max] >= 0.155443 AND raw_face_oval_region_point_spread_asym[all/mean] >= 0.084354
low_fpr_and_3,val,75,2,0,25,48,0.000000,0.040000,1.000000,1.000000,0.076923,AND P995: raw_eyebrow_region_centroid_y_asym[mouth_dynamic/max] >= 0.108792 AND raw_brow_outer_height_asym[mouth_dynamic/max] >= 0.155443 AND raw_face_oval_region_point_spread_asym[all/mean] >= 0.084354
low_fpr_and_3,train,352,1,0,117,234,0.000000,0.004255,1.000000,1.000000,0.008475,AND P995: raw_eyebrow_region_centroid_y_asym[mouth_dynamic/max] >= 0.108792 AND raw_brow_outer_height_asym[mouth_dynamic/max] >= 0.155443 AND raw_face_oval_region_point_spread_asym[all/mean] >= 0.084354
low_fpr_and_3,combined,605,3,0,227,375,0.000000,0.007937,1.000000,1.000000,0.015748,AND P995: raw_eyebrow_region_centroid_y_asym[mouth_dynamic/max] >= 0.108792 AND raw_brow_outer_height_asym[mouth_dynamic/max] >= 0.155443 AND raw_face_oval_region_point_spread_asym[all/mean] >= 0.084354
low_fpr_weighted,test,177,2,0,84,91,0.000000,0.021505,1.000000,1.000000,0.042105,P995 weighted score >= 0.999999: raw_lip_midline_deviation[mouth_dynamic/max] >= 0.035584 * weight 0.700307; bsdiff_mouth_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846; bsdiff_mouth_lateral_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846
low_fpr_weighted,val,75,1,1,24,49,0.040000,0.020000,0.500000,0.960000,0.038462,P995 weighted score >= 0.999999: raw_lip_midline_deviation[mouth_dynamic/max] >= 0.035584 * weight 0.700307; bsdiff_mouth_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846; bsdiff_mouth_lateral_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846
low_fpr_weighted,train,352,7,0,117,228,0.000000,0.029787,1.000000,1.000000,0.057851,P995 weighted score >= 0.999999: raw_lip_midline_deviation[mouth_dynamic/max] >= 0.035584 * weight 0.700307; bsdiff_mouth_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846; bsdiff_mouth_lateral_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846
low_fpr_weighted,combined,604,10,1,225,368,0.004425,0.026455,0.909091,0.995575,0.051414,P995 weighted score >= 0.999999: raw_lip_midline_deviation[mouth_dynamic/max] >= 0.035584 * weight 0.700307; bsdiff_mouth_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846; bsdiff_mouth_lateral_abs[mouth_dynamic/max] >= 0.235801 * weight 0.149846
